date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,8.0,0.0,FC Teutonia Ottensen,,,66.0,,Lukáš Hrádecký,4-2-3-1,Tom Bauer,Match Report,,22.0,11.0,,,1.0,1.0,Bayer Leverkusen
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3.0,2.0,RB Leipzig,1.4,1.6,44.0,29464.0,Lukáš Hrádecký,3-4-3,Felix Brych,Match Report,,11.0,7.0,19.0,0.0,0.0,0.0,Bayer Leverkusen
2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3.0,0.0,M'Gladbach,2.7,0.9,60.0,54042.0,Lukáš Hrádecký,3-4-3,Christian Dingert,Match Report,,24.0,11.0,15.8,0.0,0.0,0.0,Bayer Leverkusen
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5.0,1.0,Darmstadt 98,2.8,0.4,72.0,29653.0,Lukáš Hrádecký,3-4-3,Sven Jablonski,Match Report,,25.0,13.0,17.3,1.0,0.0,0.0,Bayer Leverkusen
2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Away,D,2.0,2.0,Bayern Munich,2.1,2.1,49.0,75000.0,Lukáš Hrádecký,3-4-3,Daniel Schlager,Match Report,,12.0,4.0,20.7,1.0,1.0,1.0,Bayer Leverkusen
2023-08-12,20:45,DFL-Supercup,DFL-Supercup,Sat,Home,L,0.0,3.0,RB Leipzig,,,67.0,75000.0,Joshua Kimmich,4-2-3-1,Bastian Dankert,Match Report,,13.0,5.0,,,0.0,0.0,Bayern Munich
2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Away,W,4.0,0.0,Werder Bremen,2.8,0.6,72.0,42100.0,Joshua Kimmich,4-2-3-1,Felix Zwayer,Match Report,,25.0,10.0,19.1,1.0,0.0,0.0,Bayern Munich
2023-08-27,17:30,Bundesliga,Matchweek 2,Sun,Home,W,3.0,1.0,Augsburg,2.8,0.7,61.0,75000.0,Joshua Kimmich,4-2-3-1,Daniel Siebert,Match Report,,18.0,4.0,19.0,0.0,1.0,1.0,Bayern Munich
2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Away,W,2.0,1.0,M'Gladbach,2.4,0.3,65.0,54042.0,Thomas Müller,4-2-3-1,Deniz Aytekin,Match Report,,25.0,7.0,15.0,0.0,0.0,0.0,Bayern Munich
2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Home,D,2.0,2.0,Leverkusen,2.1,2.1,51.0,75000.0,Thomas Müller,4-2-3-1,Daniel Schlager,Match Report,,16.0,9.0,13.1,0.0,0.0,0.0,Bayern Munich
2023-08-12,20:45,DFL-Supercup,DFL-Supercup,Sat,Away,W,3.0,0.0,Bayern Munich,,,33.0,75000.0,Willi Orban,4-2-2-2,Bastian Dankert,Match Report,,10.0,5.0,,,1.0,1.0,RB Leipzig
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,2.0,3.0,Leverkusen,1.6,1.4,56.0,29464.0,Willi Orban,4-2-2-2,Felix Brych,Match Report,,14.0,6.0,15.5,0.0,0.0,0.0,RB Leipzig
2023-08-25,20:30,Bundesliga,Matchweek 2,Fri,Home,W,5.0,1.0,Stuttgart,1.8,1.1,54.0,46084.0,Willi Orban,4-2-2-2,Frank Willenborg,Match Report,,20.0,11.0,20.5,2.0,0.0,0.0,RB Leipzig
2023-09-03,17:30,Bundesliga,Matchweek 3,Sun,Away,W,3.0,0.0,Union Berlin,1.2,0.3,64.0,,Willi Orban,4-2-2-2,Daniel Schlager,Match Report,,14.0,7.0,20.0,0.0,0.0,0.0,RB Leipzig
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,3.0,0.0,Augsburg,1.1,1.7,54.0,44746.0,Kevin Kampl,4-2-2-2,Sascha Stegemann,Match Report,,9.0,6.0,16.3,0.0,0.0,0.0,RB Leipzig
2023-09-19,18:45,Champions Lg,Group stage,Tue,Away,W,3.0,1.0,ch Young Boys,2.6,0.5,46.0,31500.0,Kevin Kampl,4-4-2,Enea Jorgji,Match Report,,21.0,8.0,15.2,0.0,0.0,0.0,RB Leipzig
2023-08-12,13:00,DFB-Pokal,Round of 64,Sat,Away,W,4.0,0.0,TSG Balingen,,,69.0,13400.0,Wataru Endo,4-3-3,Robert Kampka,Match Report,,24.0,10.0,,,0.0,0.0,Stuttgart
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,5.0,0.0,Bochum,3.0,0.8,60.0,53000.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Match Report,,21.0,9.0,16.6,0.0,0.0,0.0,Stuttgart
2023-08-25,20:30,Bundesliga,Matchweek 2,Fri,Away,L,1.0,5.0,RB Leipzig,1.1,1.8,46.0,46084.0,Waldemar Anton,4-2-3-1,Frank Willenborg,Match Report,,9.0,3.0,17.1,0.0,0.0,0.0,Stuttgart
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5.0,0.0,Freiburg,1.7,1.0,48.0,54300.0,Waldemar Anton,4-2-3-1,Felix Brych,Match Report,,13.0,6.0,19.1,0.0,0.0,0.0,Stuttgart
